name,wIn,hIn
obj000.png,0.4720,0.2638
obj001.png,0.1941,0.2634
obj002.png,0.2220,0.2637
obj003.png,0.4720,0.2638
obj004.png,0.8330,0.2638
obj005.png,0.8611,0.2639
obj006.png,2.7500,1.1528
obj007.png,2.2361,0.2639
obj008.png,0.9857,0.2638
obj009.png,1.0000,0.2639
obj010.png,0.1528,0.1667
obj011.png,0.5970,0.2082
obj012.png,0.2775,0.2082
obj013.png,0.1803,0.1664
obj014.png,0.9857,0.2638
obj015.png,0.5970,0.2082
obj016.png,0.5970,0.2082
obj017.png,0.6667,0.2361
obj018.png,0.5970,0.2082
obj019.png,0.4165,0.1666
obj020.png,1.5417,0.5972
obj021.png,0.5970,0.2082
obj022.png,2.1111,0.5000
