name,wIn,hIn
image1.png,2.417,1.760
image10.png,0.569,0.486
image100.png,0.791,0.292
image101.png,1.167,1.014
image102.png,3.903,1.042
image103.png,1.638,1.041
image104.png,0.791,0.292
image105.png,1.735,1.041
image106.png,0.472,0.486
image107.png,1.791,0.292
image108.png,4.917,3.681
image109.png,2.667,0.486
image11.png,0.583,0.486
image110.png,0.389,0.291
image111.png,0.319,0.291
image112.png,0.777,0.264
image113.png,2.333,1.113
image114.png,6.760,3.363
image115.png,1.319,0.292
image116.png,3.597,0.292
image117.png,1.903,0.625
image118.png,0.819,0.292
image119.png,4.500,1.264
image12.png,0.583,0.486
image120.png,4.486,2.458
image121.png,0.777,0.264
image122.png,0.319,0.291
image123.png,1.583,0.292
image124.png,0.403,0.292
image125.png,1.611,0.625
image126.png,1.458,0.292
image127.png,0.847,0.597
image128.png,1.041,0.292
image129.png,1.694,0.597
image13.png,0.583,0.486
image130.png,2.431,0.292
image131.png,0.375,0.291
image132.png,0.444,0.291
image133.png,0.583,0.291
image134.png,0.722,0.292
image135.png,4.889,0.653
image136.png,5.694,1.292
image137.png,0.486,0.236
image138.png,0.180,0.236
image139.png,0.847,0.875
image14.png,4.010,1.907
image140.png,1.000,0.264
image141.png,0.222,0.264
image142.png,0.222,0.264
image143.png,0.583,0.264
image144.png,0.680,0.292
image145.png,1.555,0.347
image146.png,1.583,0.292
image147.png,1.458,0.292
image15.png,4.490,1.313
image16.png,6.113,3.710
image17.png,3.167,1.819
image18.png,6.510,3.363
image19.png,5.917,1.907
image2.png,2.113,1.823
image20.png,1.236,1.014
image21.png,2.210,0.813
image22.png,1.710,1.127
image23.png,4.113,1.613
image24.png,2.472,0.569
image25.png,3.490,0.710
image26.png,2.187,0.877
image27.png,2.687,1.113
image28.png,2.472,0.569
image29.png,1.806,1.181
image3.png,2.113,1.823
image30.png,1.430,0.597
image31.png,1.917,0.597
image32.png,0.430,0.597
image33.png,0.611,0.278
image34.png,3.125,0.597
image35.png,0.278,0.291
image36.png,0.847,0.597
image37.png,0.278,0.291
image38.png,1.041,0.292
image39.png,0.236,0.291
image4.png,1.374,0.486
image40.png,0.236,0.291
image41.png,2.778,0.597
image42.png,3.042,0.597
image43.png,0.291,0.291
image44.png,0.264,0.291
image45.png,0.250,0.292
image46.png,2.458,0.597
image47.png,2.736,0.597
image48.png,0.486,0.291
image49.png,0.708,0.569
image5.png,2.010,1.637
image50.png,2.583,0.569
image51.png,2.681,0.569
image52.png,3.222,1.292
image53.png,2.458,0.292
image54.png,0.833,0.292
image55.png,1.527,0.347
image56.png,2.014,0.292
image57.png,0.333,0.291
image58.png,2.792,0.292
image59.png,2.167,0.292
image6.png,1.710,1.637
image60.png,0.889,0.292
image61.png,0.250,0.292
image62.png,0.833,0.292
image63.png,1.846,0.292
image64.png,0.361,0.292
image65.png,3.944,0.292
image66.png,1.472,0.292
image67.png,0.361,0.292
image68.png,0.861,0.292
image69.png,0.875,0.292
image7.png,2.278,0.500
image70.png,0.250,0.292
image71.png,0.361,0.292
image72.png,1.250,0.569
image73.png,0.333,0.569
image74.png,0.444,0.597
image75.png,1.416,0.347
image76.png,1.236,0.569
image77.png,3.347,0.625
image78.png,3.097,0.597
image79.png,0.361,0.319
image8.png,6.010,4.113
image80.png,0.361,0.319
image81.png,1.000,0.708
image82.png,1.556,1.319
image83.png,1.208,0.597
image84.png,1.097,0.708
image85.png,4.375,1.319
image86.png,1.180,0.597
image87.png,1.791,0.319
image88.png,0.972,0.708
image89.png,0.361,0.319
image9.png,2.306,0.500
image90.png,3.319,0.625
image91.png,1.513,0.347
image92.png,0.791,0.347
image93.png,0.791,0.292
image94.png,1.625,0.403
image95.png,0.486,0.236
image96.png,0.597,0.291
image97.png,0.805,0.292
image98.png,0.916,0.347
image99.png,0.791,0.292
