name,wIn,hIn
obj000.png,0.3748,0.2360
obj001.png,0.8611,0.2778
obj002.png,0.9028,0.2778
obj003.png,1.0829,0.2638
obj004.png,1.0694,0.2639
obj005.png,0.1941,0.2634
obj006.png,0.1941,0.2634
obj007.png,0.2082,0.2638
obj008.png,0.2082,0.2638
obj009.png,0.5831,0.2499
obj010.png,0.8885,0.2082
obj011.png,0.9440,0.2638
obj012.png,1.0000,0.3194
obj013.png,1.0278,0.2778
obj014.png,0.2913,0.2497
obj015.png,0.4028,0.2639
obj016.png,0.4028,0.2639
obj017.png,1.0556,0.3194
obj018.png,0.4028,0.2639
obj019.png,0.8330,0.2915
obj020.png,0.5275,0.2638
obj021.png,0.3330,0.2914
obj022.png,1.5965,0.2915
obj023.png,0.4028,0.2917
obj024.png,0.5970,0.2638
obj025.png,0.3330,0.2914
obj026.png,0.5275,0.2638
obj027.png,0.7774,0.2638
obj028.png,0.7774,0.2638
obj029.png,0.5275,0.2638
obj030.png,0.5275,0.2638
obj031.png,0.5275,0.2638
obj032.png,0.3330,0.2914
obj033.png,1.5965,0.2915
obj034.png,0.7774,0.2638
obj035.png,2.3056,0.2917
obj036.png,0.3330,0.2914
obj037.png,3.5556,1.0417
obj038.png,0.7774,0.2638
obj039.png,4.0556,0.6111
obj040.png,0.3610,0.2499
obj041.png,2.2083,0.5000
obj042.png,3.9306,1.3333
obj043.png,1.3194,0.5000
obj044.png,0.7774,0.2638
obj045.png,0.3610,0.2499
obj046.png,0.9857,0.2915
obj047.png,0.7358,0.2915
obj048.png,0.9302,0.2499
obj049.png,2.8333,0.5417
obj050.png,0.2500,0.2917
obj051.png,0.2500,0.2917
obj052.png,0.7774,0.2915
obj053.png,0.2500,0.2917
obj054.png,3.1250,0.6250
obj055.png,0.2500,0.2917
obj056.png,0.2358,0.2635
obj057.png,0.2358,0.2635
obj058.png,0.2500,0.2917
obj059.png,2.8472,0.3194
obj060.png,1.8750,0.2917
obj061.png,0.2775,0.2220
obj062.png,0.2775,0.2220
obj063.png,0.2500,0.2222
obj064.png,0.6803,0.2221
obj065.png,3.0972,0.5972
obj066.png,0.3886,0.2914
obj067.png,0.4583,0.2917
obj068.png,0.5692,0.2221
obj069.png,0.6803,0.2221
obj070.png,1.2083,0.2222
obj071.png,1.0139,0.3194
obj072.png,0.8056,0.2917
obj073.png,0.2500,0.2917
obj074.png,0.3610,0.2499
obj075.png,0.4028,0.2917
obj076.png,0.5970,0.4998
obj077.png,1.4861,0.5000
obj078.png,2.1806,0.5000
