name,wIn,hIn
obj000.png,0.8611,0.2639
obj001.png,0.5970,0.2638
obj002.png,0.4859,0.2360
obj003.png,0.4859,0.2360
obj004.png,0.1803,0.2358
obj005.png,0.8469,0.8746
obj006.png,1.0000,0.2639
obj007.png,0.2220,0.2637
obj008.png,0.2220,0.2637
obj009.png,0.5831,0.2638
obj010.png,0.2775,0.2914
obj011.png,0.6803,0.2915
obj012.png,0.5831,0.2638
obj013.png,0.2220,0.2637
obj014.png,1.5556,0.3472
obj015.png,1.5833,0.2917
obj016.png,0.7774,0.2638
obj017.png,0.7774,0.2638
obj018.png,1.4583,0.2917
obj019.png,2.0972,0.2639
obj020.png,0.4583,0.1944
obj021.png,0.4441,0.1943
obj022.png,0.1528,0.1944
obj023.png,2.8472,0.2639
obj024.png,0.1528,0.1944
obj025.png,0.1665,0.2359
obj026.png,0.1528,0.1806
obj027.png,0.1803,0.2358
obj028.png,0.1803,0.2358
obj029.png,0.1528,0.1944
obj030.png,2.0972,0.2639
obj031.png,0.4441,0.1943
obj032.png,1.3750,0.2361
obj033.png,2.8472,0.2639
obj034.png,0.6111,0.2639
obj035.png,0.2220,0.2637
obj036.png,0.4441,0.2914
obj037.png,0.4028,0.2639
obj038.png,0.7358,0.2638
obj039.png,0.6111,0.2639
obj040.png,0.6111,0.2639
obj041.png,0.6111,0.2361
obj042.png,1.3750,0.2361
obj043.png,1.4861,0.2917
obj044.png,0.4441,0.2914
obj045.png,0.4028,0.2083
obj046.png,0.4583,0.2500
obj047.png,0.4304,0.2082
obj048.png,0.4859,0.2915
obj049.png,0.2913,0.2913
obj050.png,0.6111,0.2361
obj051.png,0.6667,0.2917
obj052.png,0.7774,0.3471
obj053.png,0.1528,0.1944
obj054.png,1.0829,0.3471
obj055.png,0.2638,0.2915
obj056.png,0.1528,0.1944
obj057.png,0.1528,0.1944
obj058.png,1.6667,0.3472
obj059.png,1.9583,0.5833
obj060.png,0.4859,0.2360
obj061.png,0.4859,0.2360
obj062.png,0.1803,0.2358
