"Domain","Code","State"
"cloudflare.dev","404","AVAILABLE"
"web.app","404","AVAILABLE"
"zzq-free-name-check-9271.app","404","AVAILABLE"
"zzq-free-name-check-9271.com","404","AVAILABLE"
"zzq-free-name-check-9271.dev","404","AVAILABLE"
"zzq-free-name-check-9271.info","404","AVAILABLE"
"zzq-free-name-check-9271.net","404","AVAILABLE"
"zzq-free-name-check-9271.org","404","AVAILABLE"
"zzq-free-name-check-9271.xyz","404","AVAILABLE"
"europa.eu","0","ERR:No such host is known. (rdap.eurid.eu:44"
"zzq-free-name-check-9271.eu","0","ERR:No such host is known. (rdap.eurid.eu:44"
"google.it","0","ERR:The requested name is valid, but no data"
"zzq-free-name-check-9271.it","0","ERR:The requested name is valid, but no data"
"abc.xyz","200","REGISTERED"
"google.com","200","REGISTERED"
"google.info","200","REGISTERED"
"google.net","200","REGISTERED"
"google.org","200","REGISTERED"
