"Domain","Code","State"
"example.dev","404","AVAILABLE"
"example.xyz","404","AVAILABLE"
"nic.eu","404","AVAILABLE"
"x.xyz","404","AVAILABLE"
"cloudflare.dev","200","REGISTERED"
"google.com","200","REGISTERED"
"google.info","200","REGISTERED"
"google.net","200","REGISTERED"
"google.org","200","REGISTERED"
"openai.app","200","REGISTERED"
"web.app","200","REGISTERED"
"europa.eu","429","RETRY"
"google.it","429","RETRY"
"repubblica.it","429","RETRY"
"zzq-free-name-check-9271.app","429","RETRY"
"zzq-free-name-check-9271.com","429","RETRY"
"zzq-free-name-check-9271.dev","429","RETRY"
"zzq-free-name-check-9271.eu","429","RETRY"
"zzq-free-name-check-9271.info","429","RETRY"
"zzq-free-name-check-9271.it","429","RETRY"
"zzq-free-name-check-9271.net","429","RETRY"
"zzq-free-name-check-9271.org","429","RETRY"
"zzq-free-name-check-9271.xyz","429","RETRY"
