"Domain","Code","State"
"ampiezzaonda.com","404","AVAILABLE"
"ampiezzaonda.org","404","AVAILABLE"
"ampiezzaonda.xyz","404","AVAILABLE"
"atlasquantum.dev","404","AVAILABLE"
"braketbook.com","404","AVAILABLE"
"braketbook.org","404","AVAILABLE"
"braketbook.xyz","404","AVAILABLE"
"braketlab.com","404","AVAILABLE"
"braketlab.org","404","AVAILABLE"
"braketlab.xyz","404","AVAILABLE"
"braketnote.com","404","AVAILABLE"
"braketnote.org","404","AVAILABLE"
"braketnote.xyz","404","AVAILABLE"
"capirelaquantistica.com","404","AVAILABLE"
"capirelaquantistica.dev","404","AVAILABLE"
"capirelaquantistica.org","404","AVAILABLE"
"capirelaquantistica.xyz","404","AVAILABLE"
"capirequanti.com","404","AVAILABLE"
"capirequanti.dev","404","AVAILABLE"
"capirequanti.org","404","AVAILABLE"
"capirequanti.xyz","404","AVAILABLE"
"cleanquantum.dev","404","AVAILABLE"
"cleanquantum.org","404","AVAILABLE"
"complexamplitude.com","404","AVAILABLE"
"complexamplitude.org","404","AVAILABLE"
"complexamplitude.xyz","404","AVAILABLE"
"complexpsi.com","404","AVAILABLE"
"complexpsi.org","404","AVAILABLE"
"complexpsi.xyz","404","AVAILABLE"
"complexwave.org","404","AVAILABLE"
"complexwave.xyz","404","AVAILABLE"
"debrogliewave.com","404","AVAILABLE"
"debrogliewave.org","404","AVAILABLE"
"debrogliewave.xyz","404","AVAILABLE"
"deducingschrodinger.com","404","AVAILABLE"
"deducingschrodinger.org","404","AVAILABLE"
"deducingschrodinger.xyz","404","AVAILABLE"
"deriveschrodinger.com","404","AVAILABLE"
"deriveschrodinger.org","404","AVAILABLE"
"deriveschrodinger.xyz","404","AVAILABLE"
"esperimentimq.com","404","AVAILABLE"
"esperimentimq.dev","404","AVAILABLE"
"esperimentimq.org","404","AVAILABLE"
"esperimentimq.xyz","404","AVAILABLE"
"esperimentiquantistici.com","404","AVAILABLE"
"esperimentiquantistici.dev","404","AVAILABLE"
"esperimentiquantistici.org","404","AVAILABLE"
"esperimentiquantistici.xyz","404","AVAILABLE"
"essentialquantum.dev","404","AVAILABLE"
"essentialquantum.org","404","AVAILABLE"
"essentialquantum.xyz","404","AVAILABLE"
"evoquanta.dev","404","AVAILABLE"
